gene,source,thresholds,comparison
csgD,zhu,5,RelA_Overproduction_vs_WT
dosC,zhu,5,RelA_Overproduction_vs_WT
elaB,zhu,5,RelA_Overproduction_vs_WT
fhlA,zhu,5,RelA_Overproduction_vs_WT
gadB;gadA,zhu,5,RelA_Overproduction_vs_WT
hdeB,zhu,5,RelA_Overproduction_vs_WT
lacI,zhu,5,RelA_Overproduction_vs_WT
patA,zhu,5,RelA_Overproduction_vs_WT
rclA,zhu,5,RelA_Overproduction_vs_WT
rfaY,zhu,5,RelA_Overproduction_vs_WT
yabI,zhu,5,RelA_Overproduction_vs_WT
yafS,zhu,5,RelA_Overproduction_vs_WT
ycaC,zhu,5,RelA_Overproduction_vs_WT
yebV,zhu,5,RelA_Overproduction_vs_WT
yedP,zhu,5,RelA_Overproduction_vs_WT
yghA,zhu,5,RelA_Overproduction_vs_WT
yjbJ,zhu,5,RelA_Overproduction_vs_WT
